Best Ensemble Method,Best Machine Learning Method,Training Accuracy,Cross Validated Accuracy,Test Set Accuracy
Single Model ,Logistic Regression,0.9990234375,1.0,1.0
Simple Majority ,"Decision Tree,Naive Bayes,Neural Network",0.6796875,0.6171875,0.525
Simple Majority ,"Naive Bayes,Support Vector Machines,Neural Network,Logistic Regression",0.6806640625,0.66796875,0.65
Simple Majority ,"Naive Bayes,Support Vector Machines,Neural Network",0.6435546875,0.6328125,0.60625
Scored Probability ,"Naive Bayes,Neural Network,Logistic Regression",0.5751953125,0.5703125,0.59375
Scored Probability ,"Naive Bayes,Neural Network",0.689453125,0.703125,0.65625
Scored Probability ,"Naive Bayes,Neural Network,Logistic Regression",0.6396484375,0.62890625,0.628125
Single Model ,Logistic Regression,0.7578125,0.76171875,0.771875
Scored Probability ,"Naive Bayes,Logistic Regression",0.75,0.73046875,0.75625
Simple Majority ,"Naive Bayes,Neural Network,Logistic Regression",0.6630859375,0.66015625,0.615625
