Best Ensemble Method,Best Machine Learning Method
Simple Majority ,"Decision Tree,Naive Bayes"
Simple Majority ,"Decision Tree,Support Vector Machines,Neural Network,Logistic Regression"
Simple Majority ,"Support Vector Machines,Logistic Regression"
Scored Probability ,"Decision Tree,Logistic Regression"
Simple Majority ,"Decision Tree,Support Vector Machines,Neural Network,Logistic Regression"
Simple Majority ,"Decision Tree,Support Vector Machines,Neural Network"
Simple Majority ,"Support Vector Machines,Logistic Regression"
Scored Probability ,"Decision Tree,Naive Bayes,Neural Network,Logistic Regression"
Scored Probability ,"Decision Tree,Neural Network,Logistic Regression"
Scored Probability ,"Decision Tree,Naive Bayes,Neural Network"
